,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label,lable
261,1,2,4,0,0,4,0,0,0.0,
266,2,2,8,0,0,2,1,0,0.0,
267,2,2,7,0,0,2,0,0,0.0,
270,1,0,3,0,0,3,0,0,0.0,
272,1,0,3,0,0,3,0,0,0.0,
276,2,1,9,0,0,1,1,0,0.0,
285,1,1,4,1,1,3,1,0,0.0,
287,1,0,3,1,1,2,0,0,0.0,
290,1,1,5,1,1,4,1,0,0.0,
292,1,0,4,0,0,2,0,0,0.0,
295,1,1,6,1,1,5,0,0,0.0,
300,1,1,4,1,1,3,1,0,0.0,
302,1,0,7,0,0,3,0,0,0.0,
305,1,1,6,0,0,3,0,0,0.0,
306,1,1,3,1,1,3,0,0,0.0,
308,1,0,5,1,1,3,1,0,0.0,
311,1,1,4,0,0,3,1,0,0.0,
312,1,1,3,1,1,2,1,0,0.0,
317,1,1,4,1,1,4,0,0,0.0,
322,1,1,4,1,1,3,1,0,0.0,
326,0,1,3,1,1,1,1,0,0.0,
327,1,0,3,0,0,3,0,0,0.0,
329,2,2,3,0,0,0,1,0,0.0,
336,2,2,9,0,0,2,1,0,0.0,
0,1,0,4,0,0,2,0,0,0.0,
1,1,1,4,0,0,2,0,0,0.0,
2,2,1,4,0,0,2,0,0,0.0,
3,1,2,3,0,0,1,0,0,0.0,
10,0,2,8,0,0,4,1,0,0.0,
15,2,2,3,0,0,2,0,0,0.0,
16,0,2,6,0,0,4,0,0,0.0,
20,1,1,3,0,0,2,0,0,0.0,
30,2,1,4,0,0,2,0,0,0.0,
31,0,2,3,0,0,1,0,0,0.0,
35,0,2,3,0,0,1,1,0,0.0,
37,2,1,6,0,0,4,1,0,0.0,
41,1,1,4,0,0,2,0,0,0.0,
42,1,1,3,0,0,1,0,0,0.0,
48,2,2,8,0,0,4,1,0,0.0,
51,0,2,3,0,0,2,0,0,0.0,
54,2,2,5,0,0,3,1,0,0.0,
56,2,1,3,0,0,2,0,0,0.0,
61,1,0,10,0,0,5,1,0,0.0,
62,0,1,3,0,0,1,1,0,0.0,
63,0,0,10,1,3,3,2,0,0.0,
66,1,0,10,0,0,5,1,0,0.0,
67,0,1,3,0,0,1,1,0,0.0,
68,1,0,9,1,3,2,2,0,0.0,
72,2,2,3,0,0,2,0,0,0.0,
73,0,2,10,0,0,4,2,0,0.0,
74,1,0,4,0,0,1,0,0,0.0,
75,0,1,8,0,0,4,2,0,0.0,
76,0,0,6,0,0,1,3,0,0.0,
78,0,1,10,0,0,3,2,0,0.0,
81,1,0,10,0,0,5,1,0,0.0,
82,0,1,3,0,0,1,1,0,0.0,
83,1,0,9,1,3,2,2,0,0.0,
91,0,0,4,0,0,1,1,0,0.0,
92,0,0,3,0,0,0,1,0,0.0,
93,0,0,6,1,1,1,2,0,0.0,
94,1,0,4,0,0,1,1,0,0.0,
99,1,0,10,0,0,5,1,0,0.0,
100,0,1,3,0,0,1,1,0,0.0,
101,1,0,9,1,3,2,2,0,0.0,
105,2,2,5,0,0,4,0,0,0.0,
110,1,0,10,0,0,2,1,0,0.0,
112,0,0,8,0,0,3,2,0,0.0,
114,0,0,5,0,0,1,1,0,0.0,
116,0,0,6,0,0,4,1,0,0.0,
121,0,2,8,0,0,3,2,0,0.0,
122,1,0,7,0,0,1,1,0,0.0,
127,1,0,10,0,0,5,1,0,0.0,
128,0,1,3,0,0,1,1,0,0.0,
129,1,0,9,1,3,2,2,0,0.0,
132,2,1,4,1,2,1,0,0,0.0,
133,2,2,5,0,0,2,1,0,0.0,
134,0,2,6,1,1,3,1,0,0.0,
137,0,1,9,1,1,3,2,0,0.0,
139,0,1,8,1,1,3,0,0,0.0,
140,1,0,6,0,0,1,2,0,0.0,
148,1,0,7,0,0,6,0,0,0.0,
150,0,2,4,0,0,2,1,0,0.0,
154,0,2,6,1,1,1,2,0,0.0,
157,0,1,8,0,0,3,1,0,0.0,
160,1,0,10,0,0,5,1,0,0.0,
161,0,1,3,0,0,1,1,0,0.0,
162,1,0,9,1,3,2,2,0,0.0,
165,2,1,5,1,3,1,0,0,0.0,
166,2,2,3,0,0,1,0,0,0.0,
167,1,2,4,0,0,4,0,1,0.0,
168,1,1,5,0,0,3,0,0,0.0,
170,2,1,4,0,0,4,0,0,0.0,
171,2,2,3,0,0,1,0,0,0.0,
172,1,2,3,0,0,3,0,0,0.0,
173,1,1,5,1,1,2,1,0,0.0,
174,1,1,4,0,0,3,0,0,0.0,
175,0,1,5,0,0,4,0,0,0.0,
178,1,0,10,0,0,5,1,0,0.0,
179,0,1,3,0,0,1,1,0,0.0,
